                             _LE:LE22 PI: LINE  _S:S22 PI: LINER-,,,,                             _LE:LE22 PI: LINE  _S:S22 PI: LINER-,,,,,,,,,,,,,,,,,,,,
                  X           R-1 E: 124 IP: 1    1 E: 124 IP: 1 ,,,,                  X           R-1 E: 88 IP: 1     1 E: 88 IP: 1  ,,,,,,,,,,,,,,,,,,,,
,,,,76,3.85E-02,18.9995,,,,,,,,,,,,,,,,,,
,,,,81,3.90E-02,18.9995,,,,,,,,,,,,,,,,,,
,,,,86,3.95E-02,18.9996,,,,,,,,,,,,,,,,,,
,,,,91,3.99E-02,18.9996,,,,,,,,,,,,,,,,,,
,,,,96,4.03E-02,18.9996,,,,,,,,,,,,,,,,,,
,,,,101,4.08E-02,18.9996,,,,,,,,,,,,,,,,,,
,,,,106,4.12E-02,18.9996,,,,,,,,,,,,,,,,,,
,,,,111,4.16E-02,18.9996,,,,,,,,,,,,,,,,,,
,,,,116,4.20E-02,18.9996,,,,,,,,,,,,,,,,,,
,,,,121,4.23E-02,18.9996,,,,,,,,,,,,,,,,,,
,,,,121,4.23E-02,18.9996,,,,,,,,,,,,,,,,,,
,,,,121.014,4.21E-02,18.7257,,,,,,,,,,,,,,,,,,
,,,,121.029,4.19E-02,18.4569,,,,,,,,,,,,,,,,,,
,,,,121.043,4.17E-02,18.1852,,,,,,,,,,,,,,,,,,
,,,,121.057,4.14E-02,17.9135,,,,,,,,,,,,,,,,,,
,,,,121.072,4.12E-02,17.6418,,,,,,,,,,,,,,,,,,
,,,,121.086,4.10E-02,17.3701,,,,,,,,,,,,,,,,,,
,,,,121.1,4.07E-02,17.0984,,,,,,,,,,,,,,,,,,
,,,,121.114,4.05E-02,16.8267,,,,,,,,,,,,,,,,,,
,,,,121.129,4.03E-02,16.555,,,,,,,,,,,,,,,,,,
,,,,121.143,4.01E-02,16.2833,,,,,,,,,,,,,,,,,,
,,,,121.157,3.98E-02,16.0116,,,,,,,,,,,,,,,,,,
,,,,121.172,3.96E-02,15.74,,,,,,,,,,,,,,,,,,
,,,,121.186,3.94E-02,15.4683,,,,,,,,,,,,,,,,,,
,,,,121.2,3.92E-02,15.1966,,,,,,,,,,,,,,,,,,
,,,,121.215,3.89E-02,14.9249,,,,,,,,,,,,,,,,,,
,,,,121.229,3.87E-02,14.6532,,,,,,,,,,,,,,,,,,
,,,,121.243,3.85E-02,14.3815,,,,,,,,,,,,,,,,,,
,,,,121.257,3.82E-02,14.1098,,,,,,,,,,,,,,,,,,
,,,,121.272,3.80E-02,13.8381,,,,,,,,,,,,,,,,,,
,,,,121.286,3.78E-02,13.5664,,,,,,,,,,,,,,,,,,
,,,,121.3,3.76E-02,13.2947,,,,,,,,,,,,,,,,,,
,,,,121.315,3.73E-02,13.023,,,,,,,,,,,,,,,,,,
,,,,121.329,3.71E-02,12.7513,,,,,,,,,,,,,,,,,,
,,,,121.343,3.69E-02,12.4796,,,,,,,,,,,,,,,,,,
,,,,121.357,3.67E-02,12.2079,,,,,,,,,,,,,,,,,,
,,,,121.372,3.64E-02,11.9362,,,,,,,,,,,,,,,,,,
,,,,121.386,3.62E-02,11.6645,,,,,,,,,,,,,,,,,,
,,,,121.4,3.60E-02,11.3928,,,,,,,,,,,,,,,,,,
,,,,121.415,3.58E-02,11.1211,,,,,,,,,,,,,,,,,,
,,,,121.429,3.55E-02,10.8494,,,,,,,,,,,,,,,,,,
,,,,121.443,3.53E-02,10.5777,,,,,,,,,,,,,,,,,,
,,,,121.458,3.51E-02,10.306,,,,,,,,,,,,,,,,,,
,,,,121.472,3.48E-02,10.0343,,,,,,,,,,,,,,,,,,
,,,,121.486,3.46E-02,9.76264,,,,,,,,,,,,,,,,,,
,,,,121.501,3.44E-02,9.49095,,,,,,,,,,,,,,,,,,
,,,,121.515,3.42E-02,9.21925,,,,,,,,,,,,,,,,,,
,,,,121.529,3.39E-02,8.94755,,,,,,,,,,,,,,,,,,
,,,,121.543,3.37E-02,8.67586,,,,,,,,,,,,,,,,,,
,,,,121.558,3.35E-02,8.40416,,,,,,,,,,,,,,,,,,
,,,,121.572,3.33E-02,8.13246,,,,,,,,,,,,,,,,,,
,,,,121.586,3.30E-02,7.86077,,,,,,,,,,,,,,,,,,
,,,,121.601,3.28E-02,7.58907,,,,,,,,,,,,,,,,,,
,,,,121.615,3.26E-02,7.31738,,,,,,,,,,,,,,,,,,
,,,,121.629,3.23E-02,7.04568,,,,,,,,,,,,,,,,,,
,,,,121.644,3.21E-02,6.77398,,,,,,,,,,,,,,,,,,
,,,,121.658,3.19E-02,6.50229,,,,,,,,,,,,,,,,,,
,,,,121.672,3.17E-02,6.23059,,,,,,,,,,,,,,,,,,
,,,,121.686,3.14E-02,5.95889,,,,,,,,,,,,,,,,,,
,,,,121.701,3.12E-02,5.6872,,,,,,,,,,,,,,,,,,
,,,,121.715,3.10E-02,5.4155,,,,,,,,,,,,,,,,,,
,,,,121.729,3.08E-02,5.1438,,,,,,,,,,,,,,,,,,
,,,,121.744,3.05E-02,4.87211,,,,,,,,,,,,,,,,,,
,,,,121.758,3.03E-02,4.60041,,,,,,,,,,,,,,,,,,
,,,,121.772,3.01E-02,4.32871,,,,,,,,,,,,,,,,,,
,,,,121.786,2.98E-02,4.05702,,,,,,,,,,,,,,,,,,
,,,,121.801,2.96E-02,3.78532,,,,,,,,,,,,,,,,,,
,,,,121.815,2.94E-02,3.51362,,,,,,,,,,,,,,,,,,
,,,,121.829,2.92E-02,3.24193,,,,,,,,,,,,,,,,,,
,,,,121.844,2.89E-02,2.97023,,,,,,,,,,,,,,,,,,
,,,,121.858,2.87E-02,2.69853,,,,,,,,,,,,,,,,,,
,,,,121.872,2.85E-02,2.42684,,,,,,,,,,,,,,,,,,
,,,,121.887,2.83E-02,2.15514,,,,,,,,,,,,,,,,,,
,,,,121.901,2.80E-02,1.88344,,,,,,,,,,,,,,,,,,
,,,,121.915,2.78E-02,1.61175,,,,,,,,,,,,,,,,,,
,,,,121.929,2.76E-02,1.34005,,,,,,,,,,,,,,,,,,
,,,,121.944,2.74E-02,1.06835,,,,,,,,,,,,,,,,,,
,,,,121.958,2.71E-02,7.97E-01,,,,,,,,,,,,,,,,,,
,,,,121.972,2.69E-02,5.25E-01,,,,,,,,,,,,,,,,,,
,,,,121.987,2.67E-02,2.53E-01,,,,,,,,,,,,,,,,,,
,,,,122,2.65E-02,5.63E-04,,,,,,,,,,,,,,,,,,
,,,,122,2.65E-02,5.63E-04,,,,,,,,,,,,,,,,,,
,,,,127,2.65E-02,5.60E-04,,,,,,,,,,,,,,,,,,
,,,,132,2.65E-02,5.57E-04,,,,,,,,,,,,,,,,,,
,,,,137,2.65E-02,5.54E-04,,,,,,,,,,,,,,,,,,
,,,,142,2.65E-02,5.51E-04,,,,,,,,,,,,,,,,,,
,,,,147,2.65E-02,5.48E-04,,,,,,,,,,,,,,,,,,
,,,,152,2.65E-02,5.46E-04,,,,,,,,,,,,,,,,,,
,,,,157,2.65E-02,5.43E-04,,,,,,,,,,,,,,,,,,
,,,,162,2.65E-02,5.40E-04,,,,,,,,,,,,,,,,,,
,,,,167,2.65E-02,5.37E-04,,,,,,,,,,,,,,,,,,
,,,,172,2.65E-02,5.34E-04,,,,,,,,,,,,,,,,,,
,,,,177,2.65E-02,5.32E-04,,,,,,,,,,,,,,,,,,
,,,,182,2.65E-02,5.29E-04,,,,,,,,,,,,,,,,,,
,,,,187,2.65E-02,5.26E-04,,,,,,,,,,,,,,,,,,
,,,,192,2.65E-02,5.23E-04,,,,,,,,,,,,,,,,,,
,,,,197,2.65E-02,5.21E-04,,,,,,,,,,,,,,,,,,
,,,,202,2.65E-02,5.18E-04,,,,,,,,,,,,,,,,,,
,,,,207,2.65E-02,5.15E-04,,,,,,,,,,,,,,,,,,
,,,,212,2.65E-02,5.13E-04,,,,,,,,,,,,,,,,,,
,,,,217,2.65E-02,5.10E-04,,,,,,,,,,,,,,,,,,
,,,,222,2.65E-02,5.07E-04,,,,,,,,,,,,,,,,,,
,,,,227,2.65E-02,5.05E-04,,,,,,,,,,,,,,,,,,
,,,,232,2.65E-02,5.02E-04,,,,,,,,,,,,,,,,,,
,,,,237,2.65E-02,5.00E-04,,,,,,,,,,,,,,,,,,
,,,,242,2.65E-02,4.97E-04,,,,,,,,,,,,,,,,,,
